x1,x2,x3,v1,v2,v3,f,fobj,fcon1
89.838,127.162,120.0,-0.099871,0.7,120.0,-0.116934,0.619744,0.224766
131.46112,88.61888,135.3,0.113032,0.709935,135.3,0.514084,2.5616380000000003,0.07097300000000001
158.1566,84.0434,101.6,0.177677,0.7812899999999999,101.6,1.0722459999999998,13.174989000000002,0.187849
131.376,106.624,113.85,0.060387,0.767742,113.85,0.619475,3.1911650000000003,0.055979
48.249973,91.470027,102.3,-0.17961300000000002,0.4507100000000001,102.3,0.0,1.393142,0.094376
131.673453,81.96654699999998,104.85,0.135097,0.6891609999999999,104.85,0.852563,7.7793,0.100677
50.180853000000006,27.659147,141.15,0.168,0.251097,141.15,0.678888,3.728195,0.07144099999999999
96.2262,168.3738,149.95,-0.158323,0.853548,149.95,0.6587850000000001,0.21646,0.457882
14.895999999999999,22.344,127.65,-0.116129,0.120129,127.65,0.260495,0.352697,0.331282
54.93852,101.58148,109.35,-0.173032,0.504903,109.35,-0.216682,0.647638,0.196149
63.0476,78.6324,145.55,-0.063871,0.457032,145.55,-0.00075,0.540427,0.258149
109.13056,179.82943999999995,123.8,-0.142065,0.932129,123.8,0.11139,0.438235,0.290585
120.51592,75.76408,131.6,0.13238699999999998,0.633161,131.6,0.5937859999999999,3.00761,0.063779
140.50726699999998,138.092733,116.9,0.005032,0.89871,116.9,0.356868,2.006003,0.068254
50.68,101.36,127.65,-0.193548,0.4904520000000001,127.65,0.675374,0.185121,0.466569
68.88,137.76,118.5,-0.193548,0.6665810000000001,118.5,0.332879,0.297772,0.352889
32.56848,35.47152,150.0,-0.024774,0.219484,150.0,-0.117098,0.760145,0.212669
54.413333,108.826667,115.15,-0.193548,0.5265810000000001,115.15,0.245221,0.30503600000000003,0.330274
54.413333,108.826667,136.6,-0.193548,0.5265810000000001,136.6,0.765058,0.135287,0.507721
57.230787,95.929213,127.35,-0.14670999999999998,0.494065,127.35,0.43242,0.24776,0.382938
27.948667,35.331333,138.8,-0.067742,0.204129,138.8,0.033960000000000004,0.537045,0.266417
100.570027,149.189973,100.0,-0.113032,0.8056770000000001,100.0,0.735113,4.45826,0.068363
100.752587,123.80741299999998,116.75,-0.059613,0.724387,116.75,-0.19511,1.099718,0.125898
35.093146999999995,35.186853,111.15,-0.0007740000000000001,0.22671,111.15,-0.091279,1.281843,0.103467
89.446187,98.993813,109.05,-0.029419,0.607871,109.05,0.395742,2.116485,0.063068
16.4304,13.8096,144.4,0.050323,0.097548,144.4,0.051528,1.452382,0.105293
143.1864,121.9736,142.65,0.046452,0.855355,142.65,0.084833,1.495498,0.100943
69.42945300000001,64.690547,106.95,0.020516,0.432645,106.95,0.566902,2.838836,0.054630999999999985
34.976013,35.303987,116.75,-0.00271,0.22671,116.75,-0.170516,1.156715,0.116184
74.714547,72.845453,120.45,0.007354999999999999,0.47600000000000003,120.45,-0.088757,1.282748,0.109754
97.918987,76.521013,120.7,0.071226,0.56271,120.7,0.401419,2.133821,0.070465
74.79845300000002,124.841547,105.65,-0.145548,0.644,105.65,0.300619,1.867884,0.07309600000000001
12.58992,17.65008,114.3,-0.097161,0.097548,114.3,-0.058053,0.500455,0.2474
45.994667,43.605333,134.5,0.015484,0.289032,134.5,-0.130773,1.21277,0.120847
121.060333,115.539667,133.6,0.013548,0.7632260000000001,133.6,-0.131162,1.21582,0.118003
10.08,20.16,104.4,-0.193548,0.097548,104.4,0.373578,0.25700100000000003,0.366096
31.173333000000003,62.346667,106.45,-0.193548,0.301677,106.45,-0.040039,0.465233,0.253863
39.48224,54.59776,123.1,-0.09329,0.30348400000000003,123.1,-0.003699,0.478929,0.261454
143.6148,166.3452,136.7,-0.042581,0.999871,136.7,-0.176413,0.7450680000000001,0.19815
82.32,94.08,114.9,-0.03871,0.569032,114.9,-0.124352,1.233033,0.110088
116.637547,154.402453,117.5,-0.080903,0.874323,117.5,-0.209527,1.055141,0.13361199999999998
86.951667,116.048333,131.0,-0.083226,0.6548390000000001,131.0,0.004032,0.525192,0.26027100000000003
41.762747,25.997253,114.3,0.135097,0.218581,114.3,0.6426649999999999,3.3795269999999995,0.055565
35.84,71.68,111.85,-0.193548,0.346839,111.85,0.161721,0.374011,0.306183
52.481147,64.838853,118.7,-0.061161,0.378452,118.7,-0.227095,0.7401310000000001,0.183709
15.4224,14.8176,131.2,0.011613,0.097548,131.2,-0.156572,1.147937,0.133824
15.99696,14.24304,113.5,0.033677,0.097548,113.5,0.108366,1.527376,0.088502
30.044,21.756,115.3,0.092903,0.167097,115.3,0.480772,2.41581,0.057954999999999986
167.58112,97.57888,142.65,0.15329,0.855355,142.65,0.648944,3.434807,0.066837
